Datum,precip_mm
01/11/2008,0.1
02/11/2008,0.1
03/11/2008,1.5
04/11/2008,0
05/11/2008,0
06/11/2008,0
07/11/2008,0
08/11/2008,0.1
09/11/2008,0.2
10/11/2008,1.5
11/11/2008,0
12/11/2008,2
13/11/2008,0.3
14/11/2008,0.1
15/11/2008,0
16/11/2008,0
17/11/2008,2
18/11/2008,0.2
19/11/2008,0
20/11/2008,0.4
21/11/2008,1.2
22/11/2008,2.5
23/11/2008,1.5
24/11/2008,3.5
25/11/2008,1.5
26/11/2008,3.5
27/11/2008,0.7
28/11/2008,3.2
29/11/2008,0.7
30/11/2008,8
01/12/2008,0
02/12/2008,0
03/12/2008,3
04/12/2008,1
05/12/2008,0
06/12/2008,0
07/12/2008,0
08/12/2008,5.6
09/12/2008,0
10/12/2008,0
11/12/2008,0
12/12/2008,6
13/12/2008,5
14/12/2008,0
15/12/2008,0
16/12/2008,0
17/12/2008,1.5
18/12/2008,0.5
19/12/2008,0
20/12/2008,0.5
21/12/2008,2
22/12/2008,0.5
23/12/2008,0
24/12/2008,2.5
25/12/2008,0
26/12/2008,1.5
27/12/2008,0
28/12/2008,0
29/12/2008,0
30/12/2008,6
31/12/2008,6
01/03/2009,0.4
02/03/2009,1.5
03/03/2009,0
04/03/2009,0
05/03/2009,0
06/03/2009,0
07/03/2009,0
08/03/2009,0.3
09/03/2009,0
10/03/2009,0.2
11/03/2009,0.1
12/03/2009,0
13/03/2009,0
14/03/2009,0
15/03/2009,0
16/03/2009,0.5
17/03/2009,0
18/03/2009,0
19/03/2009,0
20/03/2009,0
21/03/2009,0.4
22/03/2009,0.1
23/03/2009,0.1
24/03/2009,0
25/03/2009,0
26/03/2009,0
27/03/2009,0.2
28/03/2009,0
29/03/2009,3.5
30/03/2009,0.5
31/03/2009,0.2
01/04/2009,0
02/04/2009,0
03/04/2009,0
04/04/2009,0
05/04/2009,0
06/04/2009,0
07/04/2009,0
08/04/2009,0.4
09/04/2009,0.3
10/04/2009,0
11/04/2009,0
12/04/2009,0
13/04/2009,0.6
14/04/2009,0.1
15/04/2009,0
16/04/2009,0.1
17/04/2009,0.1
18/04/2009,0
19/04/2009,0
20/04/2009,0
21/04/2009,0
22/04/2009,0
23/04/2009,0
24/04/2009,0
25/04/2009,0.1
26/04/2009,6.8
27/04/2009,0.1
28/04/2009,1.5
29/04/2009,0
30/04/2009,0
01/05/2009,0.1
02/05/2009,0.1
03/05/2009,5.4
04/05/2009,0
05/05/2009,0
06/05/2009,1.3
07/05/2009,1.7
08/05/2009,0.8
09/05/2009,7
10/05/2009,0
11/05/2009,0
12/05/2009,0
13/05/2009,0
14/05/2009,0
15/05/2009,0
16/05/2009,0
17/05/2009,0
18/05/2009,1
19/05/2009,0
20/05/2009,1.6
21/05/2009,2.9
22/05/2009,4
23/05/2009,2
24/05/2009,0
25/05/2009,0
26/05/2009,0
27/05/2009,20.3
28/05/2009,0.8
29/05/2009,0.6
30/05/2009,0
31/05/2009,0
01/06/2009,0
02/06/2009,1.8
03/06/2009,0
04/06/2009,0.3
05/06/2009,0.8
06/06/2009,1.1
07/06/2009,0
08/06/2009,0
09/06/2009,1.9
10/06/2009,0.6
11/06/2009,1.4
12/06/2009,0.8
13/06/2009,0.5
14/06/2009,26.1
15/06/2009,14.1
16/06/2009,2.4
17/06/2009,0
18/06/2009,0.1
19/06/2009,0
20/06/2009,0
21/06/2009,0
22/06/2009,0
23/06/2009,0
24/06/2009,0
25/06/2009,0
26/06/2009,0.9
27/06/2009,0
28/06/2009,0
29/06/2009,0
30/06/2009,0
01/07/2009,3.2
02/07/2009,0
03/07/2009,0
04/07/2009,0
05/07/2009,0.2
06/07/2009,0.4
07/07/2009,0
08/07/2009,0.1
09/07/2009,0.3
10/07/2009,5
11/07/2009,0
12/07/2009,0.2
13/07/2009,0.1
14/07/2009,0
15/07/2009,0.4
16/07/2009,6.8
