Datum,precip_mm
01/01/2008,0
02/01/2008,0
03/01/2008,0.5
04/01/2008,0.4
05/01/2008,0.1
06/01/2008,0.4
07/01/2008,0.8
08/01/2008,0.1
09/01/2008,0.3
10/01/2008,6.5
11/01/2008,1.3
12/01/2008,0
13/01/2008,3.2
14/01/2008,2.8
15/01/2008,0.7
16/01/2008,5.6
17/01/2008,6.6
18/01/2008,2.7
19/01/2008,5.4
20/01/2008,1.7
21/01/2008,0.5
22/01/2008,0
23/01/2008,0.8
24/01/2008,5.3
25/01/2008,0.2
26/01/2008,0
27/01/2008,0.2
28/01/2008,0.2
29/01/2008,0
30/01/2008,0.2
31/01/2008,1.9
01/02/2008,4.6
02/02/2008,0
03/02/2008,0
04/02/2008,0.2
05/02/2008,0.5
06/02/2008,1
07/02/2008,0.3
08/02/2008,0
09/02/2008,0.3
10/02/2008,0
11/02/2008,0
12/02/2008,0
13/02/2008,1
14/02/2008,0.3
15/02/2008,0
16/02/2008,0
17/02/2008,0
18/02/2008,0
19/02/2008,0
20/02/2008,0.7
21/02/2008,2.1
22/02/2008,10.6
23/02/2008,0.6
24/02/2008,3.3
25/02/2008,0
26/02/2008,0.2
27/02/2008,0.4
28/02/2008,0
29/02/2008,0.1
01/03/2008,1.7
02/03/2008,0.6
03/03/2008,0.6
04/03/2008,0
05/03/2008,0.6
06/03/2008,0.4
07/03/2008,0.5
08/03/2008,0
09/03/2008,4.2
10/03/2008,3.4
11/03/2008,0.4
12/03/2008,1.9
13/03/2008,0.8
14/03/2008,0
15/03/2008,0
16/03/2008,0.9
17/03/2008,1.4
18/03/2008,0.6
19/03/2008,0
20/03/2008,0
21/03/2008,0.2
22/03/2008,1.1
23/03/2008,0.4
24/03/2008,0
25/03/2008,0
26/03/2008,0.8
27/03/2008,0
28/03/2008,0
29/03/2008,2.1
30/03/2008,2.1
31/03/2008,0.9
01/04/2008,0
02/04/2008,0
03/04/2008,0.2
04/04/2008,5.3
05/04/2008,14.9
06/04/2008,1.1
07/04/2008,0.2
08/04/2008,0
09/04/2008,0.1
10/04/2008,0
11/04/2008,0.3
12/04/2008,0
13/04/2008,4.1
14/04/2008,5.1
15/04/2008,0
16/04/2008,0
17/04/2008,0
18/04/2008,0
19/04/2008,0
20/04/2008,0
