Datum,precip_mm
01/03/2007,0.7
02/03/2007,1.8
03/03/2007,0.5
04/03/2007,0
05/03/2007,0.4
06/03/2007,0.8
07/03/2007,0.7
08/03/2007,0.3
09/03/2007,0
10/03/2007,0
11/03/2007,0.3
12/03/2007,0
13/03/2007,0
14/03/2007,0
15/03/2007,0
16/03/2007,0
17/03/2007,4.8
18/03/2007,1.6
19/03/2007,0.6
20/03/2007,0
21/03/2007,0
22/03/2007,0.2
23/03/2007,0
24/03/2007,0
25/03/2007,0
26/03/2007,0
27/03/2007,0
28/03/2007,0
29/03/2007,0
30/03/2007,0
31/03/2007,0.3
01/04/2007,0.2
02/04/2007,0.2
03/04/2007,0.4
04/04/2007,2.1
05/04/2007,0
06/04/2007,0.2
07/04/2007,0.1
08/04/2007,0
09/04/2007,0
10/04/2007,1.4
11/04/2007,0
12/04/2007,0
13/04/2007,0
14/04/2007,0
15/04/2007,0
16/04/2007,0
17/04/2007,0
18/04/2007,0
19/04/2007,1.7
20/04/2007,0
21/04/2007,0
22/04/2007,0.8
23/04/2007,0.3
24/04/2007,0
25/04/2007,0
26/04/2007,0.3
27/04/2007,0
28/04/2007,0.2
29/04/2007,0
30/04/2007,0
01/05/2007,0
02/05/2007,3.8
03/05/2007,2
04/05/2007,0
05/05/2007,0
06/05/2007,2
07/05/2007,7.2
08/05/2007,3.4
09/05/2007,2.2
10/05/2007,1.2
11/05/2007,3.2
12/05/2007,1
13/05/2007,0.5
14/05/2007,1.7
15/05/2007,6.7
16/05/2007,17.1
17/05/2007,0.6
18/05/2007,1.2
19/05/2007,7.1
20/05/2007,0
21/05/2007,0
22/05/2007,0
23/05/2007,2.7
24/05/2007,1.6
25/05/2007,8.4
26/05/2007,0.6
27/05/2007,0
28/05/2007,0
29/05/2007,0
30/05/2007,0
31/05/2007,0
01/06/2007,0
02/06/2007,0
03/06/2007,0
04/06/2007,0
05/06/2007,0
06/06/2007,0
07/06/2007,0
08/06/2007,0
09/06/2007,0
10/06/2007,0
11/06/2007,10.7
12/06/2007,0.7
13/06/2007,0
14/06/2007,0
15/06/2007,0
16/06/2007,0.3
17/06/2007,0.5
18/06/2007,2.3
19/06/2007,1.1
20/06/2007,5.8
21/06/2007,0.2
22/06/2007,0.4
23/06/2007,0
24/06/2007,0
25/06/2007,3.5
26/06/2007,4
27/06/2007,3.7
28/06/2007,5.4
29/06/2007,7.8
30/06/2007,0
01/07/2007,0
02/07/2007,2.2
03/07/2007,0
04/07/2007,0.3
05/07/2007,2
06/07/2007,0
07/07/2007,0
08/07/2007,0
09/07/2007,5.3
10/07/2007,11.1
11/07/2007,0
12/07/2007,2.4
13/07/2007,1.1
14/07/2007,0.2
15/07/2007,0
16/07/2007,0
17/07/2007,0
18/07/2007,7.4
19/07/2007,0
20/07/2007,0.4
21/07/2007,0
22/07/2007,3.5
23/07/2007,1
24/07/2007,4.2
25/07/2007,0
26/07/2007,3.2
27/07/2007,0.8
28/07/2007,6.1
29/07/2007,1.7
30/07/2007,0
31/07/2007,16.5
01/08/2007,1.7
02/08/2007,0.6
03/08/2007,0
04/08/2007,1.9
05/08/2007,0
06/08/2007,0
07/08/2007,0
08/08/2007,0
09/08/2007,0.9
10/08/2007,0
11/08/2007,0
12/08/2007,0
13/08/2007,0
14/08/2007,6.3
15/08/2007,1.3
16/08/2007,5.3
17/08/2007,13.6
18/08/2007,0
19/08/2007,0.3
20/08/2007,0
21/08/2007,0
22/08/2007,0
23/08/2007,0.8
24/08/2007,0
25/08/2007,9.8
26/08/2007,1
27/08/2007,7.1
28/08/2007,0
29/08/2007,0
30/08/2007,1.1
31/08/2007,3.3
01/09/2007,0
02/09/2007,1.7
03/09/2007,0.5
04/09/2007,0
05/09/2007,0
06/09/2007,0
07/09/2007,0.4
08/09/2007,0.2
09/09/2007,0
10/09/2007,1.3
11/09/2007,2.8
12/09/2007,0.6
13/09/2007,0.7
14/09/2007,4.9
15/09/2007,7.7
16/09/2007,3.7
17/09/2007,13.9
18/09/2007,1.5
19/09/2007,0
20/09/2007,0
