Datum,Tid (UTC),Snödjup
26/04/1900,07:00:00,0.6
17/04/1901,07:00:00,0.75
18/04/1902,07:00:00,0.6
16/04/1903,07:00:00,0.9
15/03/1904,07:00:00,0.6
07/11/1904,07:00:00,0.1
21/02/1905,07:00:00,0.35
25/10/1905,07:00:00,0.15
30/11/1905,07:00:00,0.45
19/01/1906,07:00:00,0.3
21/02/1906,07:00:00,0.45
31/03/1906,07:00:00,0.7
22/11/1906,07:00:00,0.18
20/12/1906,07:00:00,0.25
29/10/1907,07:00:00,0.03
30/10/1907,07:00:00,0.13
31/10/1907,07:00:00,0.13
01/11/1907,07:00:00,0.11
02/11/1907,07:00:00,0.16
03/11/1907,07:00:00,0.1
04/11/1907,07:00:00,0.1
05/11/1907,07:00:00,0.1
06/11/1907,07:00:00,0.1
07/11/1907,07:00:00,0.1
08/11/1907,07:00:00,0.04
09/11/1907,07:00:00,0.02
10/11/1907,07:00:00,0.02
11/11/1907,07:00:00,0.06
12/11/1907,07:00:00,0.11
13/11/1907,07:00:00,0.07
14/11/1907,07:00:00,0.1
15/11/1907,07:00:00,0.1
16/11/1907,07:00:00,0.1
03/03/1908,07:00:00,0.5
23/02/1909,07:00:00,0.32
11/03/1909,07:00:00,0.35
20/03/1909,07:00:00,0.38
24/03/1909,07:00:00,0.38
25/03/1909,07:00:00,0.38
28/03/1909,07:00:00,0.38
29/03/1909,07:00:00,0.45
02/04/1909,07:00:00,0.35
04/04/1909,07:00:00,0.38
05/04/1909,07:00:00,0.38
07/04/1909,07:00:00,0.39
08/04/1909,07:00:00,0.39
10/04/1909,07:00:00,0.44
12/04/1909,07:00:00,0.43
14/04/1909,07:00:00,0.42
15/04/1909,07:00:00,0.42
19/04/1909,07:00:00,0.43
22/04/1909,07:00:00,0.41
26/04/1909,07:00:00,0.4
29/04/1909,07:00:00,0.42
03/05/1909,07:00:00,0.39
06/05/1909,07:00:00,0.38
10/05/1909,07:00:00,0.35
13/05/1909,07:00:00,0.37
17/05/1909,07:00:00,0.38
20/05/1909,07:00:00,0.39
24/05/1909,07:00:00,0.35
25/05/1909,07:00:00,0.35
27/05/1909,07:00:00,0.29
31/05/1909,07:00:00,0.21
03/10/1909,07:00:00,0.01
07/10/1909,07:00:00,0
08/10/1909,07:00:00,0.03
19/10/1909,07:00:00,0.02
20/10/1909,07:00:00,0.01
21/10/1909,07:00:00,0.05
22/10/1909,07:00:00,0.04
23/10/1909,07:00:00,0.02
24/10/1909,07:00:00,0.01
25/10/1909,07:00:00,0.17
26/10/1909,07:00:00,0.25
27/10/1909,07:00:00,0.24
28/10/1909,07:00:00,0.22
29/10/1909,07:00:00,0.3
30/10/1909,07:00:00,0.32
31/10/1909,07:00:00,0.35
01/11/1909,07:00:00,0.29
02/11/1909,07:00:00,0.29
03/11/1909,07:00:00,0.29
04/11/1909,07:00:00,0.28
05/11/1909,07:00:00,0.28
06/11/1909,07:00:00,0.3
07/11/1909,07:00:00,0.31
08/11/1909,07:00:00,0.31
09/11/1909,07:00:00,0.31
10/11/1909,07:00:00,0.3
11/11/1909,07:00:00,0.3
12/11/1909,07:00:00,0.3
13/11/1909,07:00:00,0.3
14/11/1909,07:00:00,0.3
15/11/1909,07:00:00,0.31
16/11/1909,07:00:00,0.31
17/11/1909,07:00:00,0.31
18/11/1909,07:00:00,0.3
19/11/1909,07:00:00,0.3
20/11/1909,07:00:00,0.3
21/11/1909,07:00:00,0.3
22/11/1909,07:00:00,0.32
23/11/1909,07:00:00,0.32
24/11/1909,07:00:00,0.32
25/11/1909,07:00:00,0.35
26/11/1909,07:00:00,0.35
27/11/1909,07:00:00,0.35
28/11/1909,07:00:00,0.35
29/11/1909,07:00:00,0.36
30/11/1909,07:00:00,0.36
02/12/1909,07:00:00,0.4
06/12/1909,07:00:00,0.43
09/12/1909,07:00:00,0.43
13/12/1909,07:00:00,0.29
16/12/1909,07:00:00,0.22
20/12/1909,07:00:00,0.26
23/12/1909,07:00:00,0.31
27/12/1909,07:00:00,0.3
30/12/1909,07:00:00,0.29
03/01/1910,07:00:00,0.31
06/01/1910,07:00:00,0.34
10/01/1910,07:00:00,0.33
13/01/1910,07:00:00,0.35
17/01/1910,07:00:00,0.45
20/01/1910,07:00:00,0.44
24/01/1910,07:00:00,0.43
27/01/1910,07:00:00,0.44
31/01/1910,07:00:00,0.45
03/02/1910,07:00:00,0.45
07/02/1910,07:00:00,0.44
10/02/1910,07:00:00,0.43
14/02/1910,07:00:00,0.43
17/02/1910,07:00:00,0.47
21/02/1910,07:00:00,0.41
24/02/1910,07:00:00,0.45
28/02/1910,07:00:00,0.45
03/03/1910,07:00:00,0.46
07/03/1910,07:00:00,0.43
10/03/1910,07:00:00,0.45
14/03/1910,07:00:00,0.47
17/03/1910,07:00:00,0.49
21/03/1910,07:00:00,0.5
24/03/1910,07:00:00,0.51
28/03/1910,07:00:00,0.5
31/03/1910,07:00:00,0.47
04/04/1910,07:00:00,0.46
07/04/1910,07:00:00,0.47
11/04/1910,07:00:00,0.43
14/04/1910,07:00:00,0.45
18/04/1910,07:00:00,0.45
21/04/1910,07:00:00,0.39
25/04/1910,07:00:00,0.45
28/04/1910,07:00:00,0.48
01/05/1910,07:00:00,0.38
02/05/1910,07:00:00,0.36
05/05/1910,07:00:00,0.29
09/05/1910,07:00:00,0.06
16/11/1910,07:00:00,0.2
17/11/1910,07:00:00,0.2
18/11/1910,07:00:00,0.26
19/11/1910,07:00:00,0.31
20/11/1910,07:00:00,0.33
21/11/1910,07:00:00,0.38
22/11/1910,07:00:00,0.39
23/11/1910,07:00:00,0.38
24/11/1910,07:00:00,0.38
25/11/1910,07:00:00,0.39
