Datum,Tid (UTC),Snödjup
05/10/1969,06:00:00,0
13/10/1969,06:00:00,0.7
16/10/1969,06:00:00,0.3
20/10/1969,06:00:00,0.05
22/10/1969,06:00:00,0.05
24/10/1969,06:00:00,0.06
27/10/1969,06:00:00,0.14
29/10/1969,06:00:00,0.25
31/10/1969,06:00:00,0.23
01/11/1969,06:00:00,0.23
04/11/1969,06:00:00,0.23
06/11/1969,06:00:00,0.16
08/11/1969,06:00:00,0.15
10/11/1969,06:00:00,0.16
13/11/1969,06:00:00,0.16
17/11/1969,06:00:00,0.2
21/11/1969,06:00:00,0.25
24/11/1969,06:00:00,0.3
27/11/1969,06:00:00,0.27
29/11/1969,06:00:00,0.4
01/12/1969,06:00:00,0.33
04/12/1969,06:00:00,0.24
06/12/1969,06:00:00,0.35
08/12/1969,06:00:00,0.32
10/12/1969,06:00:00,0.35
14/12/1969,06:00:00,0.39
18/12/1969,06:00:00,0.38
20/12/1969,06:00:00,0.4
22/12/1969,06:00:00,0.39
25/12/1969,06:00:00,0.39
28/12/1969,06:00:00,0.48
29/12/1969,06:00:00,0.47
31/12/1969,06:00:00,0.59
04/01/1970,06:00:00,0.52
05/01/1970,06:00:00,0.52
08/01/1970,06:00:00,0.55
12/01/1970,06:00:00,0.55
15/01/1970,06:00:00,0.54
19/01/1970,06:00:00,0.54
21/01/1970,06:00:00,0.59
23/01/1970,06:00:00,0.59
26/01/1970,06:00:00,0.59
28/01/1970,06:00:00,0.57
31/01/1970,06:00:00,0.6
01/02/1970,06:00:00,0.66
02/02/1970,06:00:00,0.66
06/02/1970,06:00:00,0.65
08/02/1970,06:00:00,0.67
09/02/1970,06:00:00,0.66
11/02/1970,06:00:00,0.76
14/02/1970,06:00:00,0.8
15/02/1970,06:00:00,0.8
16/02/1970,06:00:00,0.8
19/02/1970,06:00:00,0.83
22/02/1970,06:00:00,0.85
23/02/1970,06:00:00,0.83
26/02/1970,06:00:00,0.83
28/02/1970,06:00:00,0.9
04/03/1970,06:00:00,0.76
06/03/1970,06:00:00,0.75
11/03/1970,06:00:00,0.75
13/03/1970,06:00:00,0.8
16/03/1970,06:00:00,0.92
18/03/1970,06:00:00,0.88
20/03/1970,06:00:00,0.86
23/03/1970,06:00:00,0.85
25/03/1970,06:00:00,0.82
26/03/1970,06:00:00,0.82
27/03/1970,06:00:00,0.8
29/03/1970,06:00:00,0.8
31/03/1970,06:00:00,0.8
03/04/1970,06:00:00,0.8
05/04/1970,06:00:00,0.8
06/04/1970,06:00:00,0.8
09/04/1970,06:00:00,0.8
13/04/1970,06:00:00,0.87
15/04/1970,06:00:00,0.85
17/04/1970,06:00:00,0.84
19/04/1970,06:00:00,0.86
20/04/1970,06:00:00,0.85
23/04/1970,06:00:00,0.85
26/04/1970,06:00:00,0.84
27/04/1970,06:00:00,0.84
29/04/1970,06:00:00,0.83
03/05/1970,06:00:00,0.81
04/05/1970,06:00:00,0.8
10/05/1970,06:00:00,0.4
13/05/1970,06:00:00,0.2
15/05/1970,06:00:00,0.15
16/05/1970,06:00:00,0.15
18/05/1970,06:00:00,0.1
20/05/1970,06:00:00,0.1
22/05/1970,06:00:00,0.1
24/05/1970,06:00:00,0.08
26/05/1970,06:00:00,0
27/05/1970,06:00:00,0
30/05/1970,06:00:00,0
31/05/1970,06:00:00,0
03/06/1970,06:00:00,0
04/06/1970,06:00:00,0
05/06/1970,06:00:00,0
07/06/1970,06:00:00,0
11/06/1970,06:00:00,0
13/06/1970,06:00:00,0
15/06/1970,06:00:00,0
16/06/1970,06:00:00,0
18/06/1970,06:00:00,0
20/06/1970,06:00:00,0
21/06/1970,06:00:00,0
21/10/1970,06:00:00,0.06
22/10/1970,06:00:00,0.05
23/10/1970,06:00:00,0.05
25/10/1970,06:00:00,0.04
27/10/1970,06:00:00,0.11
30/10/1970,06:00:00,0.14
31/10/1970,06:00:00,0.25
01/11/1970,06:00:00,0.25
03/11/1970,06:00:00,0.26
06/11/1970,06:00:00,0.22
08/11/1970,06:00:00,0.55
11/11/1970,06:00:00,0.45
13/11/1970,06:00:00,0.4
15/11/1970,06:00:00,0.36
17/11/1970,06:00:00,0.38
18/11/1970,06:00:00,0.38
19/11/1970,06:00:00,0.38
21/11/1970,06:00:00,0.35
22/11/1970,06:00:00,0.35
23/11/1970,06:00:00,0.35
25/11/1970,06:00:00,0.4
28/11/1970,06:00:00,0.6
29/11/1970,06:00:00,0.75
30/11/1970,06:00:00,0.72
01/12/1970,06:00:00,0.66
02/12/1970,06:00:00,0.65
04/12/1970,06:00:00,0.69
06/12/1970,06:00:00,0.66
07/12/1970,06:00:00,0.67
09/12/1970,06:00:00,0.75
10/12/1970,06:00:00,0.85
12/12/1970,06:00:00,0.93
13/12/1970,06:00:00,0.93
15/12/1970,06:00:00,0.81
16/12/1970,06:00:00,0.8
18/12/1970,06:00:00,0.8
20/12/1970,06:00:00,0.81
21/12/1970,06:00:00,0.85
23/12/1970,06:00:00,0.85
25/12/1970,06:00:00,0.85
26/12/1970,06:00:00,0.85
27/12/1970,06:00:00,0.85
29/12/1970,06:00:00,0.85
31/12/1970,06:00:00,0.85
02/01/1971,06:00:00,0.95
03/01/1971,06:00:00,0.96
04/01/1971,06:00:00,1
09/01/1971,06:00:00,1.1
10/01/1971,06:00:00,0.98
13/01/1971,06:00:00,0.95
14/01/1971,06:00:00,0.95
15/01/1971,06:00:00,0.96
17/01/1971,06:00:00,1.11
18/01/1971,06:00:00,1.06
19/01/1971,06:00:00,1.05
22/01/1971,06:00:00,1.06
24/01/1971,06:00:00,1.11
26/01/1971,06:00:00,1.2
28/01/1971,06:00:00,1.26
30/01/1971,06:00:00,1.25
31/01/1971,06:00:00,1.26
04/03/1971,06:00:00,1.16
06/03/1971,06:00:00,1.25
07/03/1971,06:00:00,1.28
08/03/1971,06:00:00,1.27
11/03/1971,06:00:00,1.4
13/03/1971,06:00:00,1.44
14/03/1971,06:00:00,1.42
15/03/1971,06:00:00,1.41
16/03/1971,06:00:00,1.4
20/03/1971,06:00:00,1.37
21/03/1971,06:00:00,1.37
22/03/1971,06:00:00,1.37
26/03/1971,06:00:00,1.37
28/03/1971,06:00:00,1.37
30/03/1971,06:00:00,1.38
31/03/1971,06:00:00,1.4
02/04/1971,06:00:00,1.4
04/04/1971,06:00:00,1.5
05/04/1971,06:00:00,1.47
10/04/1971,06:00:00,1.45
13/04/1971,06:00:00,1.45
15/04/1971,06:00:00,1.42
17/04/1971,06:00:00,1.42
21/04/1971,06:00:00,1.4
24/04/1971,06:00:00,1.43
26/04/1971,06:00:00,1.41
30/04/1971,06:00:00,1.4
01/05/1971,06:00:00,1.4
02/05/1971,06:00:00,1.4
05/05/1971,06:00:00,1.3
06/05/1971,06:00:00,1.15
08/05/1971,06:00:00,1.14
09/05/1971,06:00:00,1.13
10/05/1971,06:00:00,1
