Datum,Snödjup
01/01/1947,0.25
02/01/1947,0.24
03/01/1947,0.24
04/01/1947,0.23
05/01/1947,0.23
06/01/1947,0.23
07/01/1947,0.23
08/01/1947,0.24
09/01/1947,0.24
10/01/1947,0.24
11/01/1947,0.24
12/01/1947,0.24
13/01/1947,0.25
14/01/1947,0.25
15/01/1947,0.25
16/01/1947,0.27
17/01/1947,0.27
18/01/1947,0.26
19/01/1947,0.27
20/01/1947,0.3
21/01/1947,0.34
22/01/1947,0.32
23/01/1947,0.36
24/01/1947,0.35
25/01/1947,0.35
26/01/1947,0.34
27/01/1947,0.33
28/01/1947,0.33
29/01/1947,0.32
30/01/1947,0.32
31/01/1947,0.32
01/02/1947,0.32
02/02/1947,0.33
03/02/1947,0.34
04/02/1947,0.35
05/02/1947,0.35
06/02/1947,0.34
07/02/1947,0.34
08/02/1947,0.34
09/02/1947,0.34
10/02/1947,0.34
11/02/1947,0.34
12/02/1947,0.34
13/02/1947,0.34
14/02/1947,0.34
15/02/1947,0.34
16/02/1947,0.34
17/02/1947,0.36
18/02/1947,0.37
19/02/1947,0.37
20/02/1947,0.36
21/02/1947,0.42
22/02/1947,0.41
23/02/1947,0.41
24/02/1947,0.41
25/02/1947,0.4
26/02/1947,0.4
27/02/1947,0.4
28/02/1947,0.4
01/03/1947,0.4
02/03/1947,0.43
03/03/1947,0.42
04/03/1947,0.43
05/03/1947,0.45
06/03/1947,0.45
07/03/1947,0.45
08/03/1947,0.44
09/03/1947,0.44
10/03/1947,0.44
11/03/1947,0.43
12/03/1947,0.43
13/03/1947,0.43
14/03/1947,0.43
15/03/1947,0.43
16/03/1947,0.43
17/03/1947,0.43
18/03/1947,0.43
19/03/1947,0.43
20/03/1947,0.43
21/03/1947,0.43
22/03/1947,0.43
23/03/1947,0.43
24/03/1947,0.51
25/03/1947,0.49
26/03/1947,0.48
27/03/1947,0.47
28/03/1947,0.45
29/03/1947,0.54
30/03/1947,0.53
31/03/1947,0.52
01/04/1947,0.5
02/04/1947,0.49
03/04/1947,0.49
04/04/1947,0.54
05/04/1947,0.52
06/04/1947,0.5
07/04/1947,0.55
08/04/1947,0.59
09/04/1947,0.57
10/04/1947,0.56
11/04/1947,0.55
12/04/1947,0.56
13/04/1947,0.53
14/04/1947,0.52
15/04/1947,0.52
16/04/1947,0.52
17/04/1947,0.52
18/04/1947,0.56
19/04/1947,0.54
20/04/1947,0.52
21/04/1947,0.53
22/04/1947,0.54
23/04/1947,0.48
24/04/1947,0.41
25/04/1947,0.42
26/04/1947,0.38
27/04/1947,0.35
28/04/1947,0.36
29/04/1947,0.35
30/04/1947,0.34
01/05/1947,0.33
02/05/1947,0.33
03/05/1947,0.31
04/05/1947,0.27
05/05/1947,0.22
06/05/1947,0.17
07/05/1947,0.06
04/10/1947,0.01
06/10/1947,0.01
01/12/1947,0.38
02/12/1947,0.41
03/12/1947,0.52
04/12/1947,0.53
