Datum,Tid (UTC),Snödjup
01/03/2007,06:00:00,0.78
02/03/2007,06:00:00,0.78
03/03/2007,06:00:00,0.79
04/03/2007,06:00:00,0.79
05/03/2007,06:00:00,0.79
06/03/2007,06:00:00,0.79
07/03/2007,06:00:00,0.79
08/03/2007,06:00:00,0.8
09/03/2007,06:00:00,0.8
10/03/2007,06:00:00,0.8
11/03/2007,06:00:00,0.75
12/03/2007,06:00:00,0.75
13/03/2007,06:00:00,0.73
14/03/2007,06:00:00,0.73
15/03/2007,06:00:00,0.72
16/03/2007,06:00:00,0.72
17/03/2007,06:00:00,0.72
18/03/2007,06:00:00,0.76
19/03/2007,06:00:00,0.78
20/03/2007,06:00:00,0.74
21/03/2007,06:00:00,0.74
22/03/2007,06:00:00,0.74
23/03/2007,06:00:00,0.74
24/03/2007,06:00:00,0.74
25/03/2007,06:00:00,0.74
26/03/2007,06:00:00,0.74
27/03/2007,06:00:00,0.68
28/03/2007,06:00:00,0.68
29/03/2007,06:00:00,0.68
30/03/2007,06:00:00,0.68
31/03/2007,06:00:00,0.68
01/04/2007,06:00:00,0.68
02/04/2007,06:00:00,0.68
03/04/2007,06:00:00,0.68
04/04/2007,06:00:00,0.68
05/04/2007,06:00:00,0.68
06/04/2007,06:00:00,0.68
07/04/2007,06:00:00,0.68
08/04/2007,06:00:00,0.68
09/04/2007,06:00:00,0.68
10/04/2007,06:00:00,0.68
11/04/2007,06:00:00,0.68
12/04/2007,06:00:00,0.68
13/04/2007,06:00:00,0.68
14/04/2007,06:00:00,0.6
15/04/2007,06:00:00,0.55
16/04/2007,06:00:00,0.5
17/04/2007,06:00:00,0.46
18/04/2007,06:00:00,0.46
19/04/2007,06:00:00,0.46
20/04/2007,06:00:00,0.46
21/04/2007,06:00:00,0.46
22/04/2007,06:00:00,0.46
23/04/2007,06:00:00,0.46
24/04/2007,06:00:00,0.46
25/04/2007,06:00:00,0.46
26/04/2007,06:00:00,0.46
27/04/2007,06:00:00,0.4
28/04/2007,06:00:00,0.38
29/04/2007,06:00:00,0.38
30/04/2007,06:00:00,0.35
01/05/2007,06:00:00,0.35
02/05/2007,06:00:00,0.33
03/05/2007,06:00:00,0.34
04/05/2007,06:00:00,0.32
05/05/2007,06:00:00,0.32
06/05/2007,06:00:00,0.3
07/05/2007,06:00:00,0.3
08/05/2007,06:00:00,0.25
09/05/2007,06:00:00,0.23
10/05/2007,06:00:00,0.2
11/05/2007,06:00:00,0.2
12/05/2007,06:00:00,0.2
13/05/2007,06:00:00,0.2
14/05/2007,06:00:00,0
15/05/2007,06:00:00,0
16/05/2007,06:00:00,0
17/05/2007,06:00:00,0
18/05/2007,06:00:00,0
19/05/2007,06:00:00,0
20/05/2007,06:00:00,0
21/05/2007,06:00:00,0
22/05/2007,06:00:00,0
23/05/2007,06:00:00,0
24/05/2007,06:00:00,0
25/05/2007,06:00:00,0
26/05/2007,06:00:00,0
27/05/2007,06:00:00,0
28/05/2007,06:00:00,0
29/05/2007,06:00:00,0
30/05/2007,06:00:00,0
31/05/2007,06:00:00,0
01/06/2007,06:00:00,0
02/06/2007,06:00:00,0
03/06/2007,06:00:00,0
04/06/2007,06:00:00,0
05/06/2007,06:00:00,0
06/06/2007,06:00:00,0
07/06/2007,06:00:00,0
08/06/2007,06:00:00,0
09/06/2007,06:00:00,0
10/06/2007,06:00:00,0
11/06/2007,06:00:00,0
12/06/2007,06:00:00,0
13/06/2007,06:00:00,0
14/06/2007,06:00:00,0
15/06/2007,06:00:00,0
16/06/2007,06:00:00,0
17/06/2007,06:00:00,0
18/06/2007,06:00:00,0
19/06/2007,06:00:00,0
20/06/2007,06:00:00,0
21/06/2007,06:00:00,0
