Datum,min,max
01/01/2008,-24,-14
02/01/2008,-23,-8
03/01/2008,-11,-5
04/01/2008,-14,-5.7
05/01/2008,-16.3,-9.9
06/01/2008,-17.1,-11.8
07/01/2008,-22.3,-8.7
08/01/2008,-8.7,-3.6
09/01/2008,-3.6,-0.7
10/01/2008,-6.2,-1.9
11/01/2008,-5.5,0.1
12/01/2008,-4.6,-1
13/01/2008,-5.8,-3.9
14/01/2008,-25,-5.6
15/01/2008,-18.8,1.2
16/01/2008,0.5,1.9
17/01/2008,-3,0.5
18/01/2008,-6.9,-3
19/01/2008,-5.5,0.1
20/01/2008,-2.8,-0.1
21/01/2008,-3,-0.7
22/01/2008,-5.7,-2.4
23/01/2008,-28.1,-4.1
24/01/2008,-28.5,-3.4
25/01/2008,-20.2,-6.8
26/01/2008,-25,-15.9
27/01/2008,-27.4,-14.1
28/01/2008,-22.3,-6.6
29/01/2008,-7.7,0.1
30/01/2008,-6.8,-3.4
31/01/2008,-23.7,-5.3
01/02/2008,-21.5,-2
02/02/2008,-3.7,-1.4
03/02/2008,-18.6,-3
04/02/2008,-26.9,-17.5
05/02/2008,-31.9,-10.8
06/02/2008,-10.9,-5.1
07/02/2008,-5.2,-1.2
08/02/2008,-11.7,-1.2
09/02/2008,-19.5,-11.1
10/02/2008,-14.6,0.7
11/02/2008,-17.4,-1.4
12/02/2008,-13.4,2.6
13/02/2008,-3.3,2.4
14/02/2008,-8.1,-2.6
15/02/2008,-23.4,-7.5
16/02/2008,-24.3,-1.4
17/02/2008,-20.3,-0.7
18/02/2008,-12.4,-4
19/02/2008,-8.4,-3.2
20/02/2008,-14.3,-4.4
21/02/2008,-6.6,-0.6
22/02/2008,-2.1,-0.6
23/02/2008,-21.5,-2.1
24/02/2008,-28.7,-9.2
25/02/2008,-9.2,-6.5
26/02/2008,-17.7,-3.2
27/02/2008,-19.2,-9.4
28/02/2008,-20,-11.9
29/02/2008,-24.1,-10.7
01/03/2008,-18.4,-10.2
02/03/2008,-12.2,-6.9
03/03/2008,-11.7,-7.6
04/03/2008,-19.6,-10.1
05/03/2008,-28.5,-5.4
06/03/2008,-27.4,-6.9
07/03/2008,-15.2,-5.8
08/03/2008,-26.8,-7.8
09/03/2008,-22.8,-1.5
10/03/2008,-1.5,1.6
11/03/2008,-0.6,1.3
12/03/2008,-3.3,-0.5
13/03/2008,-1.4,1.2
14/03/2008,-5.2,0.7
15/03/2008,-9,-3
16/03/2008,-15,-5
17/03/2008,-6.8,-1.5
18/03/2008,-8.8,-2.9
19/03/2008,-21,-3.7
20/03/2008,-27.3,-6.1
21/03/2008,-20.5,-4.7
22/03/2008,-27,-6.1
23/03/2008,-16.7,-7
24/03/2008,-25.7,-7.6
25/03/2008,-28.8,-1.9
26/03/2008,-27.7,-1.1
27/03/2008,-4.5,-0.1
28/03/2008,-20.6,-0.9
29/03/2008,-19.6,1.6
30/03/2008,0,2.4
31/03/2008,0.7,2.6
01/04/2008,-0.3,8.1
02/04/2008,-2.6,4.1
03/04/2008,-6.1,0.8
04/04/2008,-3.6,-1
