Datum,Tid (UTC),Snödjup
14/09/1952,06:00:00,0
21/09/1952,06:00:00,
26/10/1952,06:00:00,
27/10/1952,06:00:00,
28/10/1952,06:00:00,
29/10/1952,06:00:00,
30/10/1952,06:00:00,
31/10/1952,06:00:00,
01/11/1952,06:00:00,
02/11/1952,06:00:00,
03/11/1952,06:00:00,
04/11/1952,06:00:00,
05/11/1952,06:00:00,
06/11/1952,06:00:00,
07/11/1952,06:00:00,
08/11/1952,06:00:00,
09/11/1952,06:00:00,0.01
10/11/1952,06:00:00,0.02
11/11/1952,06:00:00,0.08
12/11/1952,06:00:00,
13/11/1952,06:00:00,0.06
14/11/1952,06:00:00,
15/11/1952,06:00:00,0.05
16/11/1952,06:00:00,
17/11/1952,06:00:00,
18/11/1952,06:00:00,
19/11/1952,06:00:00,0.02
20/11/1952,06:00:00,0.09
21/11/1952,06:00:00,
22/11/1952,06:00:00,
23/11/1952,06:00:00,
24/11/1952,06:00:00,
25/11/1952,06:00:00,0.11
26/11/1952,06:00:00,
27/11/1952,06:00:00,
28/11/1952,06:00:00,
29/11/1952,06:00:00,
30/11/1952,06:00:00,0.23
05/12/1952,06:00:00,0.23
10/12/1952,06:00:00,0.3
15/12/1952,06:00:00,0.37
20/12/1952,06:00:00,0.34
26/12/1952,06:00:00,0.32
30/12/1952,06:00:00,0.33
01/01/1953,06:00:00,0.36
05/01/1953,06:00:00,0.35
10/01/1953,06:00:00,0.39
15/01/1953,06:00:00,0.4
20/01/1953,06:00:00,0.58
25/01/1953,06:00:00,0.56
30/01/1953,06:00:00,0.59
05/02/1953,06:00:00,0.59
10/02/1953,06:00:00,0.58
15/02/1953,06:00:00,0.65
20/02/1953,06:00:00,0.67
25/02/1953,06:00:00,0.66
01/04/1953,06:00:00,
02/04/1953,06:00:00,
03/04/1953,06:00:00,
04/04/1953,06:00:00,
05/04/1953,06:00:00,
06/04/1953,06:00:00,
07/04/1953,06:00:00,
08/04/1953,06:00:00,
09/04/1953,06:00:00,
10/04/1953,06:00:00,
11/04/1953,06:00:00,
12/04/1953,06:00:00,
13/04/1953,06:00:00,
14/04/1953,06:00:00,
15/04/1953,06:00:00,
16/04/1953,06:00:00,
17/04/1953,06:00:00,
18/04/1953,06:00:00,
19/04/1953,06:00:00,
20/04/1953,06:00:00,
21/04/1953,06:00:00,
22/04/1953,06:00:00,
23/04/1953,06:00:00,
24/04/1953,06:00:00,
25/04/1953,06:00:00,
26/04/1953,06:00:00,
27/04/1953,06:00:00,
28/04/1953,06:00:00,
29/04/1953,06:00:00,
30/04/1953,06:00:00,
15/10/1954,06:00:00,
30/10/1954,06:00:00,
05/03/1955,06:00:00,0.32
15/03/1955,06:00:00,0.49
25/03/1955,06:00:00,0.51
01/01/1956,06:00:00,0.34
05/01/1956,06:00:00,0.39
10/01/1956,06:00:00,0.33
15/01/1956,06:00:00,0.32
25/01/1956,06:00:00,0.38
30/01/1956,06:00:00,0.4
05/02/1956,06:00:00,0.44
10/02/1956,06:00:00,0.46
15/02/1956,06:00:00,0.5
20/02/1956,06:00:00,0.49
25/02/1956,06:00:00,0.56
29/02/1956,06:00:00,0.58
05/03/1956,06:00:00,0.55
10/03/1956,06:00:00,0.58
15/03/1956,06:00:00,0.54
20/03/1956,06:00:00,0.56
25/03/1956,06:00:00,0.57
30/03/1956,06:00:00,0.6
05/04/1956,06:00:00,0.6
10/04/1956,06:00:00,0.58
15/04/1956,06:00:00,0.57
20/04/1956,06:00:00,0.56
25/04/1956,06:00:00,0.5
30/04/1956,06:00:00,0.48
05/05/1956,06:00:00,0.39
10/05/1956,06:00:00,0.21
15/05/1956,06:00:00,0.05
20/05/1956,06:00:00,0
01/10/1956,06:00:00,0.01
02/10/1956,06:00:00,
03/10/1956,06:00:00,
04/10/1956,06:00:00,
05/10/1956,06:00:00,
06/10/1956,06:00:00,0.02
07/10/1956,06:00:00,
08/10/1956,06:00:00,
09/10/1956,06:00:00,
10/10/1956,06:00:00,0.03
11/10/1956,06:00:00,
12/10/1956,06:00:00,
13/10/1956,06:00:00,
14/10/1956,06:00:00,
15/10/1956,06:00:00,0.02
16/10/1956,06:00:00,
17/10/1956,06:00:00,
18/10/1956,06:00:00,
19/10/1956,06:00:00,0
20/10/1956,06:00:00,0
21/10/1956,06:00:00,0
22/10/1956,06:00:00,
23/10/1956,06:00:00,
24/10/1956,06:00:00,
25/10/1956,06:00:00,0.01
26/10/1956,06:00:00,
27/10/1956,06:00:00,
28/10/1956,06:00:00,
29/10/1956,06:00:00,
30/10/1956,06:00:00,0.01
31/10/1956,06:00:00,
01/11/1956,06:00:00,
02/11/1956,06:00:00,
03/11/1956,06:00:00,
04/11/1956,06:00:00,
05/11/1956,06:00:00,0.17
06/11/1956,06:00:00,
07/11/1956,06:00:00,
08/11/1956,06:00:00,
09/11/1956,06:00:00,
10/11/1956,06:00:00,0.14
11/11/1956,06:00:00,
12/11/1956,06:00:00,
13/11/1956,06:00:00,
14/11/1956,06:00:00,
15/11/1956,06:00:00,0.16
16/11/1956,06:00:00,
17/11/1956,06:00:00,
18/11/1956,06:00:00,
19/11/1956,06:00:00,
20/11/1956,06:00:00,0.17
21/11/1956,06:00:00,
22/11/1956,06:00:00,
23/11/1956,06:00:00,
24/11/1956,06:00:00,
25/11/1956,06:00:00,0.17
26/11/1956,06:00:00,
27/11/1956,06:00:00,
28/11/1956,06:00:00,
29/11/1956,06:00:00,
30/11/1956,06:00:00,0.17
05/12/1956,06:00:00,0.17
10/12/1956,06:00:00,0.18
15/12/1956,06:00:00,0.17
20/12/1956,06:00:00,0.19
25/12/1956,06:00:00,0.19
31/12/1956,06:00:00,0.19
05/02/1957,06:00:00,0.35
10/02/1957,06:00:00,0.36
15/02/1957,06:00:00,0.36
20/02/1957,06:00:00,0.36
25/02/1957,06:00:00,0.39
05/03/1957,06:00:00,0.4
10/03/1957,06:00:00,0.4
15/03/1957,06:00:00,0.4
20/03/1957,06:00:00,0.39
25/03/1957,06:00:00,0.39
30/03/1957,06:00:00,0.39
01/04/1957,06:00:00,
02/04/1957,06:00:00,
03/04/1957,06:00:00,
04/04/1957,06:00:00,
05/04/1957,06:00:00,0.23
06/04/1957,06:00:00,
07/04/1957,06:00:00,
08/04/1957,06:00:00,
09/04/1957,06:00:00,
10/04/1957,06:00:00,0.22
11/04/1957,06:00:00,
12/04/1957,06:00:00,
13/04/1957,06:00:00,
14/04/1957,06:00:00,
15/04/1957,06:00:00,0.22
16/04/1957,06:00:00,
17/04/1957,06:00:00,
18/04/1957,06:00:00,
19/04/1957,06:00:00,
20/04/1957,06:00:00,0.18
21/04/1957,06:00:00,
22/04/1957,06:00:00,
23/04/1957,06:00:00,
24/04/1957,06:00:00,
25/04/1957,06:00:00,0.1
26/04/1957,06:00:00,
27/04/1957,06:00:00,
28/04/1957,06:00:00,0
29/04/1957,06:00:00,0
30/04/1957,06:00:00,0
01/10/1957,06:00:00,0
02/10/1957,06:00:00,0
03/10/1957,06:00:00,0
04/10/1957,06:00:00,0
05/10/1957,06:00:00,0
06/10/1957,06:00:00,0.13
07/10/1957,06:00:00,0.1
08/10/1957,06:00:00,0.09
09/10/1957,06:00:00,0.09
