Datum,min,max
31/10/2008,-19.4,-13.9
01/11/2008,-15.4,-1.6
02/11/2008,-5.9,0
03/11/2008,-8.1,0.7
04/11/2008,-9,1
05/11/2008,-13.6,-7.3
06/11/2008,-12.7,-5.5
07/11/2008,-11.7,-1.4
08/11/2008,-4.1,-1.6
09/11/2008,-2.8,0.2
10/11/2008,-4.2,0.3
11/11/2008,-10.9,-2.4
12/11/2008,-25.4,-5.3
13/11/2008,-29.2,-5.5
14/11/2008,-19.4,-7
15/11/2008,-20.6,-6.4
16/11/2008,-14.8,-7.9
17/11/2008,-12.8,0.2
18/11/2008,-11.9,-2.8
19/11/2008,-23.7,-7.7
20/11/2008,-17.6,-3.3
21/11/2008,-18.2,-6.2
22/11/2008,-16.6,-8.4
23/11/2008,-8.7,-2.9
24/11/2008,-11,-5.3
25/11/2008,-16.5,-5.3
26/11/2008,-15.7,-5.2
27/11/2008,-13.3,-6.2
28/11/2008,-13.4,-7.2
29/11/2008,-21.6,-6.5
30/11/2008,-13.5,-4.2
01/12/2008,-23.3,-9.5
02/12/2008,-9.7,-5.4
03/12/2008,-5.7,-1.6
04/12/2008,-14.4,-2.6
05/12/2008,-25,-10.1
06/12/2008,-27.8,-15.9
07/12/2008,-24.6,-14
08/12/2008,-19.7,-8.4
09/12/2008,-28.9,-19.7
10/12/2008,-32.8,-27.8
11/12/2008,-33.3,-11.6
12/12/2008,-11.6,-3.9
13/12/2008,-10.8,-5
14/12/2008,-10.6,-4.4
15/12/2008,-4.9,-1
16/12/2008,-1.7,0.7
17/12/2008,-1.1,0.6
18/12/2008,-1.2,1.6
19/12/2008,-14.4,0.4
20/12/2008,-20.1,-5.2
21/12/2008,-22.7,-14.9
22/12/2008,-19.8,-3
23/12/2008,-18.1,-5.8
24/12/2008,-18.3,-0.4
25/12/2008,-0.9,4.1
26/12/2008,-6.1,-0.3
27/12/2008,-3.8,4.7
28/12/2008,1.9,5.2
29/12/2008,-1.5,3.2
30/12/2008,-10.1,0
31/12/2008,-18.7,-10
01/01/2009,-23.2,-12.1
02/01/2009,-16.9,-9.9
03/01/2009,-25,-13
04/01/2009,-17.8,-2.4
05/01/2009,-23.9,-7.4
06/01/2009,-26.3,-12.4
07/01/2009,-16.8,-9.6
08/01/2009,-10.8,-2.7
09/01/2009,-6.7,2.7
10/01/2009,-2.4,2.8
11/01/2009,-7.1,1
12/01/2009,-29.9,-7
13/01/2009,-32.9,-29
14/01/2009,-31.9,-10
15/01/2009,-23.8,-10.8
16/01/2009,-14.2,-8.8
17/01/2009,-8.8,-5.6
18/01/2009,-11.5,-4.6
19/01/2009,-14.9,-10.5
20/01/2009,-12.9,-4.6
21/01/2009,-4.6,-0.4
22/01/2009,-4.6,-1.5
23/01/2009,-10.7,-4.6
24/01/2009,-19.6,-10.7
25/01/2009,-18.4,-11.4
26/01/2009,-11.7,-7
27/01/2009,-8.4,-7.7
28/01/2009,-7.9,-6
29/01/2009,-7.8,-5.3
30/01/2009,-7.5,-2.8
31/01/2009,-5.1,5.9
01/02/2009,-6.9,2.5
02/02/2009,-12.1,-1.1
03/02/2009,-12.7,-8.3
04/02/2009,-23.2,-11.3
05/02/2009,-21.3,-18.2
06/02/2009,-30.7,-21.2
07/02/2009,-29.4,-21.3
08/02/2009,-21.4,-9.7
09/02/2009,-28.9,-9.4
10/02/2009,-31.2,-16.4
11/02/2009,-28.7,-22.8
12/02/2009,-30.5,-21.3
13/02/2009,-30.3,-17.6
14/02/2009,-32,-15.8
15/02/2009,-28.9,-17.6
16/02/2009,-33.8,-25.1
17/02/2009,-34.6,-25
18/02/2009,-33.1,-22.6
19/02/2009,-22.6,-13.9
20/02/2009,-14.6,-4.9
21/02/2009,-8.7,-4.8
22/02/2009,-9.5,-4.4
23/02/2009,-11.9,-5.3
24/02/2009,-11.2,-0.7
25/02/2009,-11.1,-3.4
26/02/2009,-22.6,-6.9
27/02/2009,-17.6,-7
28/02/2009,-30.2,-9.5
01/03/2009,-11.8,-5.8
02/03/2009,-5.9,-2.7
03/03/2009,-8.5,-2
04/03/2009,-9.7,-4.4
05/03/2009,-7.3,-1.8
06/03/2009,-5.1,-2.2
07/03/2009,-6.3,-3.4
08/03/2009,-9.2,-6
09/03/2009,-16,-5.3
10/03/2009,-22.8,-9.7
11/03/2009,-21.8,-5.7
12/03/2009,-6.5,-3.7
13/03/2009,-5.6,-3.1
14/03/2009,-8.1,-0.8
15/03/2009,-5.7,2.7
16/03/2009,-9.9,1.3
17/03/2009,-9.6,-1.9
18/03/2009,-15,-3.1
19/03/2009,-4.9,0.6
20/03/2009,-9.1,-2
21/03/2009,-14.2,-4.1
22/03/2009,-16.9,-6.1
23/03/2009,-20.2,-7.1
24/03/2009,-27.7,-7
25/03/2009,-30.8,-6.3
26/03/2009,-19.4,-4.3
27/03/2009,-22.4,-3
28/03/2009,-11,-5
29/03/2009,-7,-2
30/03/2009,-7,-2.4
31/03/2009,-11.6,2
01/04/2009,-13,-3.4
02/04/2009,-11.2,-5.3
03/04/2009,-8.4,-2.3
04/04/2009,-19,-2.1
05/04/2009,-20.4,-4.8
