MASK,KARTERAD,PALS,PALS_VATT,PALS_HA,PALSVATTHA,Shape_area,Shape_len
INOM,KLAR,"15","2",0.15000000,0.02000000,10000.00000000000,400.00000000000
INOM,KLAR,"1","0",0.01000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"1","0",0.01000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"3","6",0.03000000,0.06000000,10000.00000000000,400.00000000000
INOM,KLAR,"1","1",0.01000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"0","11",0.00000000,0.11000000,10000.00000000000,400.00000000000
INOM,KLAR,"1","15",0.01000000,0.15000000,10000.00000000000,400.00000000000
INOM,KLAR,"2","0",0.02000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"39","0",0.39000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"16","5",0.16000000,0.05000000,10000.00000000000,400.00000000000
INOM,KLAR,"0","1",0.00000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"0","3",0.00000000,0.03000000,10000.00000000000,400.00000000000
INOM,KLAR,"15","0",0.15000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"52","0",0.52000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"9","3",0.09000000,0.03000000,10000.00000000000,400.00000000000
INOM,KLAR,"6","0",0.06000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"45","3",0.45000000,0.03000000,10000.00000000000,400.00000000000
INOM,KLAR,"33","2",0.33000000,0.02000000,10000.00000000000,400.00000000000
INOM,KLAR,"36","4",0.36000000,0.04000000,10000.00000000000,400.00000000000
INOM,KLAR,"16","1",0.16000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"49","0",0.49000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"45","0",0.45000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"14","1",0.14000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"13","7",0.13000000,0.07000000,10000.00000000000,400.00000000000
INOM,KLAR,"20","3",0.20000000,0.03000000,10000.00000000000,400.00000000000
INOM,KLAR,"40","0",0.40000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"28","0",0.28000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"41","0",0.41000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"59","0",0.59000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"22","2",0.22000000,0.02000000,10000.00000000000,400.00000000000
INOM,KLAR,"28","1",0.28000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"38","0",0.38000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"65","0",0.65000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"71","0",0.71000000,0.00000000,10000.00000000000,400.00000000000
