MASK,KARTERAD,PALS,PALS_VATT,PALS_HA,PALSVATTHA,Shape_area,Shape_len
INOM,KLAR,"14","0",0.14000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"4","0",0.04000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"36","0",0.36000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"5","0",0.05000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"3","0",0.03000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"16","1",0.16000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"6","0",0.06000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"16","0",0.16000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"9","3",0.09000000,0.03000000,10000.00000000000,400.00000000000
INOM,KLAR,"0","1",0.00000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"0","5",0.00000000,0.05000000,10000.00000000000,400.00000000000
INOM,KLAR,"25","0",0.25000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"13","0",0.13000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"18","7",0.18000000,0.07000000,10000.00000000000,400.00000000000
INOM,KLAR,"61","3",0.61000000,0.03000000,10000.00000000000,400.00000000000
INOM,KLAR,"7","0",0.07000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"9","4",0.09000000,0.04000000,10000.00000000000,400.00000000000
INOM,KLAR,"1","1",0.01000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"2","13",0.02000000,0.13000000,10000.00000000000,400.00000000000
INOM,KLAR,"5","1",0.05000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"25","3",0.25000000,0.03000000,10000.00000000000,400.00000000000
INOM,KLAR,"29","10",0.29000000,0.10000000,10000.00000000000,400.00000000000
INOM,KLAR,"57","2",0.57000000,0.02000000,10000.00000000000,400.00000000000
INOM,KLAR,"24","0",0.24000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"46","1",0.46000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"14","0",0.14000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"15","0",0.15000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"4","0",0.04000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"10","0",0.10000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"29","0",0.29000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"14","0",0.14000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"7","0",0.07000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"9","1",0.09000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"8","0",0.08000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"10","0",0.10000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"29","3",0.29000000,0.03000000,10000.00000000000,400.00000000000
