MASK,KARTERAD,PALS,PALS_VATT,PALS_HA,PALSVATTHA,Shape_area,Shape_len
INOM,KLAR,"36","8",0.36000000,0.08000000,10000.00000000000,400.00000000000
INOM,KLAR,"8","0",0.08000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"7","0",0.07000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"4","0",0.04000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"6","1",0.06000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"3","1",0.03000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"19","1",0.19000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"5","0",0.05000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"31","0",0.31000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"13","0",0.13000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"4","0",0.04000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"20","0",0.20000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"8","0",0.08000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"24","0",0.24000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"3","0",0.03000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"9","0",0.09000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"2","0",0.02000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"4","0",0.04000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"10","0",0.10000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"13","0",0.13000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"5","0",0.05000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"9","0",0.09000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"18","0",0.18000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"1","0",0.01000000,0.00000000,10000.00000000000,400.00000000000
INOM,KLAR,"17","2",0.17000000,0.02000000,10000.00000000000,400.00000000000
INOM,KLAR,"2","1",0.02000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"3","1",0.03000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"9","1",0.09000000,0.01000000,10000.00000000000,400.00000000000
INOM,KLAR,"2","0",0.02000000,0.00000000,10000.00000000000,400.00000000000
